question_id,view_count,answer_count,score
231767.0,2145683.0,39.0,9839.0
394809.0,1831958.0,23.0,5745.0
419163.0,2710131.0,31.0,5729.0
100003.0,764445.0,18.0,5519.0
82831.0,3761969.0,39.0,5382.0
89228.0,3312078.0,63.0,4683.0
38987.0,1725038.0,42.0,4496.0
273192.0,2505458.0,25.0,4028.0
3437059.0,3935325.0,10.0,3601.0
3207219.0,3915974.0,21.0,3474.0
136097.0,748652.0,25.0,3435.0
613183.0,2590422.0,34.0,3423.0
522563.0,1991089.0,19.0,3408.0
53513.0,2638803.0,27.0,3234.0
252703.0,2893706.0,20.0,3119.0
509211.0,1632628.0,32.0,3105.0
952914.0,1933953.0,40.0,3089.0
423379.0,3101771.0,18.0,2996.0
176918.0,3616920.0,29.0,2972.0
3294889.0,4171737.0,10.0,2968.0
415511.0,3148280.0,36.0,2708.0
1602934.0,3306441.0,16.0,2683.0
739654.0,500293.0,17.0,2679.0
510348.0,2932053.0,13.0,2677.0
1436703.0,628279.0,22.0,2610.0
6470428.0,754952.0,5.0,2595.0
986006.0,1273332.0,26.0,2525.0
1132941.0,146742.0,32.0,2511.0
4750806.0,2946856.0,37.0,2503.0
1024847.0,3254700.0,15.0,2487.0
576169.0,1610564.0,7.0,2425.0
2612802.0,1553357.0,16.0,2387.0
1720421.0,2307799.0,25.0,2350.0
123198.0,1806640.0,16.0,2289.0
36901.0,671730.0,21.0,2221.0
448271.0,1046419.0,11.0,2160.0
2052390.0,1650518.0,7.0,2150.0
379906.0,3772488.0,26.0,2144.0
312443.0,870319.0,62.0,2135.0
101754.0,605299.0,25.0,2095.0
5137497.0,2823752.0,13.0,2083.0
606191.0,2153237.0,19.0,2083.0
466345.0,2795647.0,20.0,2076.0
663171.0,2793898.0,11.0,2049.0
3277503.0,3478553.0,28.0,2028.0
287871.0,1145419.0,41.0,2002.0
3.0081275E7,183973.0,10.0,1986.0
6996603.0,1863849.0,11.0,1969.0
4906977.0,1677871.0,10.0,1951.0
6797984.0,2299030.0,5.0,1946.0
930397.0,1929569.0,11.0,1934.0
2720014.0,1117412.0,54.0,1914.0
1712227.0,3190339.0,7.0,1883.0
68645.0,1160182.0,18.0,1878.0
332289.0,2388221.0,16.0,1824.0
493386.0,1802455.0,21.0,1798.0
72899.0,701419.0,18.0,1788.0
9371238.0,249849.0,10.0,1778.0
1.7071871E7,2451511.0,10.0,1749.0
2225038.0,1689854.0,12.0,1734.0
60208.0,1509105.0,44.0,1719.0
493819.0,1252580.0,10.0,1701.0
1.6476924E7,2140575.0,20.0,1692.0
306400.0,1341999.0,13.0,1691.0
1.7271319E7,2036623.0,21.0,1676.0
735975.0,935950.0,10.0,1669.0
1.1346283E7,2474362.0,23.0,1663.0
3061.0,654346.0,12.0,1638.0
275018.0,1721327.0,28.0,1623.0
1.1277432E7,1338914.0,11.0,1612.0
455612.0,2984472.0,25.0,1580.0
1.2179271E7,600931.0,12.0,1554.0
354038.0,1299052.0,31.0,1548.0
610883.0,809634.0,13.0,1541.0
990754.0,783466.0,10.0,1510.0
4706499.0,1536821.0,12.0,1494.0
402504.0,2415626.0,16.0,1483.0
2600191.0,1560396.0,23.0,1449.0
627435.0,2473278.0,18.0,1424.0
101268.0,672877.0,191.0,1419.0
2835559.0,2616714.0,9.0,1415.0
1450393.0,1537888.0,22.0,1411.0
3394835.0,844633.0,11.0,1388.0
5466451.0,390311.0,14.0,1381.0
339007.0,835560.0,14.0,1354.0
510972.0,858143.0,8.0,1354.0
5082452.0,966234.0,16.0,1332.0
9573244.0,1541595.0,24.0,1324.0
961632.0,3267130.0,11.0,1303.0
931092.0,1242438.0,26.0,1301.0
5844672.0,1497622.0,15.0,1290.0
5574702.0,789568.0,15.0,1276.0
2257441.0,830911.0,27.0,1273.0
3996904.0,1816047.0,19.0,1260.0
4383571.0,1282977.0,23.0,1260.0
9942594.0,1602950.0,27.0,1252.0
2846653.0,951046.0,19.0,1242.0
1747817.0,813256.0,13.0,1239.0
582336.0,485429.0,26.0,1237.0
5226311.0,1292169.0,11.0,1231.0
1301346.0,371422.0,15.0,1230.0
152580.0,820763.0,12.0,1213.0
1319615.0,620722.0,9.0,1211.0
1.0660435E7,1064740.0,24.0,1204.0
541390.0,878191.0,21.0,1203.0
1549801.0,697352.0,7.0,1196.0
1.3411544E7,1562955.0,13.0,1195.0
7943751.0,479897.0,5.0,1161.0
209840.0,755304.0,15.0,1153.0
4015417.0,300175.0,6.0,1151.0
230751.0,740581.0,13.0,1145.0
36932.0,817098.0,43.0,1144.0
372885.0,1205384.0,23.0,1137.0
3289601.0,1518631.0,5.0,1133.0
1093322.0,1445599.0,20.0,1125.0
886221.0,181326.0,29.0,1114.0
761804.0,1139429.0,8.0,1113.0
7696924.0,1520246.0,22.0,1113.0
1504717.0,1497330.0,14.0,1096.0
7370801.0,1225434.0,28.0,1094.0
9622163.0,1491416.0,19.0,1089.0
2.1530577E7,836341.0,27.0,1088.0
2709821.0,823750.0,21.0,1084.0
8933237.0,1054520.0,12.0,1082.0
67631.0,831295.0,29.0,1060.0
1185524.0,1097164.0,15.0,1051.0
3964681.0,1644230.0,26.0,1043.0
2998215.0,482841.0,9.0,1043.0
354883.0,1120802.0,14.0,1033.0
1.2309269E7,1372491.0,14.0,1032.0
1534210.0,705661.0,28.0,1031.0
81584.0,1638670.0,1.0,1028.0
1952464.0,427003.0,20.0,1027.0
6159900.0,2001854.0,13.0,1015.0
73663.0,1429188.0,10.0,1014.0
