"question_id","view_count","answer_count","score"
1759455,87091,4,137
766372,88353,7,137
7287996,83274,6,137
112970,85471,6,137
4160770,32704,3,137
39719689,89648,4,137
9867562,81731,6,137
2596714,78370,6,137
3429878,86183,2,136
20895429,31176,2,136
1680528,23856,7,136
8748036,40005,8,136
8408046,94529,5,135
16311562,38186,2,135
16645083,53537,6,135
6304040,68677,10,135
19859840,44879,2,135
22108488,75062,6,135
2048777,23005,1,135
487224,18379,10,135
1350671,34162,9,134
29815129,69488,3,134
761519,63906,7,134
4938429,94524,3,134
12834785,43891,3,134
35677724,56015,4,134
2087148,81623,3,134
21884271,76944,4,134
6074018,6799,9,134
33072570,55757,5,134
20776189,36918,1,134
15388831,84373,7,133
3320406,52483,7,133
26180528,66117,6,133
16162015,76719,8,133
20110170,90235,3,133
1675734,51898,5,133
21881362,6120,3,132
5033727,48954,7,132
18640305,90461,10,132
23861468,13600,3,132
2933470,46048,4,132
231371,45521,10,132
2909106,58565,6,132
22864221,34392,1,132
25337706,32153,4,132
6558765,85827,9,131
8220108,84597,5,131
7915998,84362,4,131
1408356,67041,10,131
15556718,39636,4,131
1077113,30401,1,131
4836375,47793,9,131
4769004,30300,5,131
8658043,46292,7,131
3438675,18524,9,131
7828867,66000,9,130
3223604,78047,5,130
19687421,65571,8,130
696047,40179,5,130
3744568,82592,2,130
12987624,70098,3,130
4484167,77195,1,130
6996176,81772,5,129
2451821,68432,6,129
11597901,32373,5,129
7374748,45496,6,129
8463008,63629,1,129
706595,67331,4,129
11476190,4920,4,129
11241781,80933,6,129
7604636,36465,8,129
32322503,33737,1,129
12919980,62892,6,128
6930144,85949,3,128
1401661,64746,7,128
1180411,36977,9,128
18603270,52607,6,128
17181687,43213,5,128
24735311,20617,3,128
22646463,82521,8,128
34014906,9424,4,128
1190697,55643,4,127
3496592,66769,3,127
207000,63790,5,127
2585091,39642,8,127
9000164,69963,5,126
4768941,33309,8,126
13317536,59232,9,126
5121931,50484,8,126
9157210,74964,10,126
8294618,33005,6,126
11360858,28578,3,126
6318126,59591,5,126
3271590,31036,6,125
16573051,90688,10,125
1452995,44615,10,125
1832940,36098,8,125
1835756,52548,9,125
28829236,76050,4,125
2612610,75383,2,125
2020014,74727,10,125
6062576,60104,9,125
7127075,95618,4,125
2556108,65522,6,125
2710537,4381,7,125
4872007,85326,4,125
8657508,33548,8,124
27152414,25927,2,124
7908636,92817,8,124
15639779,32239,3,124
39577984,38588,3,124
42742810,25007,9,123
100732,85722,9,123
7438681,58947,6,123
588958,22177,4,123
3371136,17975,5,123
12904912,84782,2,123
6288661,73071,2,122
51125013,80682,5,122
3096148,45001,7,122
8960777,45932,5,122
955941,20580,7,122
5434891,45231,9,122
9427163,81502,10,121
8560131,45406,7,121
10252247,72173,9,121
77552,41249,8,121
14657375,74878,5,121
779495,40793,6,121
15374857,45623,5,121
13412496,66292,9,121
7279810,48420,2,121
4505747,21915,10,121
7479777,41570,4,121
4929626,21841,4,120
3170055,75145,9,120
9619199,83337,6,120
5446964,61552,3,120
5268404,73285,8,120
6690739,60735,2,120
12187122,76398,6,120
9819602,59554,4,120
4859129,27880,5,120
1383239,73315,4,120
45346575,25790,3,120
28218466,72714,2,120
34562061,33739,3,120
1336791,43201,7,120
11994325,78215,4,120
1109804,76669,7,120
4502656,11044,3,120
2010692,50434,4,119
37313471,9936,3,119
1859072,94829,8,119
37098546,37215,4,119
4575747,36902,2,119
48458,26989,6,119
7522250,68211,8,118
393053,60655,9,118
22190403,77661,5,118
49262379,19146,6,118
33738467,49041,3,118
2714573,93844,4,118
1984104,43212,10,118
1450957,50903,8,118
33159518,83316,10,118
12435209,38400,1,118
3073259,46120,9,117
18114285,57063,5,117
1233539,70849,3,117
2447353,38482,9,117
1507082,43137,7,117
8608587,91344,7,117
3810865,86774,5,117
29503339,64524,7,116
1396668,68348,7,116
44864156,8258,6,116
2677185,58134,8,116
1787110,67649,8,116
27905295,78133,9,116
4198906,13143,5,116
11015320,91717,9,116
10269701,54288,7,116
1024049,41843,9,116
22463939,43420,2,116
34287893,13656,1,116
35817,91449,10,115
246725,70308,7,115
2066508,44416,7,115
19261833,41926,2,115
12957582,85646,2,115
8238360,93357,5,115
11124578,32625,8,115
6774371,34094,5,115
25480089,74175,2,115
38217545,49068,1,115
19189274,34516,5,114
990422,79350,4,114
14808945,92643,2,114
8494209,35591,4,114
47947673,81334,6,114
18786912,58174,7,114
10938360,71818,4,114
6034390,60438,4,114
25408393,80905,4,114
42231161,72190,3,114
10718767,14377,8,114
58441514,7344,2,114
30624829,57139,5,113
21408344,31291,5,113
18665873,73681,6,113
34642595,37555,4,113
3963201,58373,2,113
42212810,82380,4,113
1331471,87207,6,113
32409629,85233,9,113
5931291,48890,5,113
4780088,79457,2,113
11976503,50804,5,113
1377446,87934,8,112
29290359,29891,10,112
3190706,37072,10,112
900392,70651,5,112
19161093,86165,1,112
2213923,80283,10,112
8421337,78973,6,112
8389639,73894,3,112
22904025,64582,2,112
1015307,45856,5,111
710609,72928,7,111
2259270,72969,7,111
925024,79589,7,111
30752268,47383,5,111
22250483,40600,6,111
569468,89517,7,111
37031928,35558,3,111
3815359,67412,3,111
4348733,56307,6,111
4185061,84477,5,111
4219717,50832,9,110
2197451,53883,6,110
12838111,37133,3,110
2347265,61539,8,110
18089667,58619,7,110
14133806,13032,4,110
9442724,73971,3,110
18176602,56555,5,110
11815947,87214,3,110
30034840,58912,2,110
30147165,4052,2,110
33932901,60729,5,110
10366374,84403,9,110
2536307,55473,7,110
15762943,58542,4,110
5733113,6303,1,110
533048,46739,4,109
1726391,67554,4,109
7507825,44156,5,109
6031584,48741,6,109
17811855,26510,2,109
1595649,44470,7,109
31447694,5089,3,109
8108688,49668,6,109
51476300,20348,1,109
5737196,50493,7,108
3659142,95134,10,108
604453,55748,3,108
9540040,14786,2,108
27158573,87671,3,108
16115713,13313,1,108
39857289,47173,3,108
9829578,77638,9,108
17901218,65506,9,108
489269,45383,4,108
28035119,42116,9,108
59359911,3824,1,108
24727709,45743,2,108
58435645,10877,10,107
5239856,42612,3,107
3012421,31638,8,107
5693360,8357,1,107
1571570,46338,2,107
34322471,40520,3,107
19602187,72345,5,107
19158339,57074,4,107
357785,44970,10,107
12660870,4119,4,107
3927628,52797,4,107
25305788,30796,4,107
11114589,21546,2,107
46330327,38092,1,107
41776263,6369,1,107
9692962,54127,2,106
38744285,85655,4,106
12773763,42735,4,106
7992559,39338,10,106
17426292,80814,4,106
12791997,79295,7,106
41407414,51510,6,106
8180769,89452,2,106
14376900,26612,4,106
17353213,49419,3,106
30972029,69000,1,106
23639113,33231,4,105
8187082,70040,10,105
21956683,67537,4,105
14162723,91239,7,105
14328406,59998,5,105
2451386,57501,5,105
8991506,48788,9,105
28311655,70626,4,105
3132265,67048,5,105
34269772,23476,2,105
521502,86004,3,105
2736144,51152,4,105
25606879,36559,2,105
10944047,69757,1,105
40697845,86428,4,105
7596612,37015,4,105
43390869,6269,2,105
2400840,89363,9,104
2629680,40112,5,104
4628618,79500,2,104
6579496,82904,5,104
5967500,75250,1,104
2936863,58376,5,104
3854867,89275,2,104
12759761,71003,2,104
727761,87683,9,104
3051241,59699,3,104
16675865,28006,1,104
11530196,95368,6,103
7336802,53976,3,103
5201346,39941,2,103
6159313,83320,9,103
9542435,78026,4,103
16031056,76334,4,103
20057260,88885,5,103
33378422,63108,4,103
46664007,11817,4,103
6832554,77589,5,103
1783146,35282,4,103
34771191,46494,8,103
17011357,41753,2,103
7375595,52335,6,103
28305406,86331,1,103
10354397,92173,4,102
16458166,90598,8,102
9987483,61868,6,102
6576962,92977,6,102
38154040,66332,10,102
2419770,60581,5,102
18757742,74314,4,102
12589481,58877,3,102
2412770,95396,3,102
14406214,72317,4,102
14027417,49915,4,102
32752292,90765,1,102
16134281,57723,2,102
809796,24878,6,102
37835179,23674,2,102
12423614,9714,4,102
23296282,28543,1,102
147816,12430,6,102
14822184,59256,8,101
7304248,48604,3,101
25470844,41663,3,101
19324453,72696,5,101
3056048,85926,9,101
1528237,45786,6,101
38231591,59147,8,101
1342601,89544,3,101
1316952,58841,6,101
1117564,60126,8,101
4813238,83564,5,101
2421586,22212,2,101
41274007,75912,4,101
36059194,78176,4,101
29919306,56694,3,101
37872171,22164,1,101
17256724,20569,3,101
11744990,50195,4,101
8447947,51978,9,101
1512059,51722,8,100
1395913,37690,6,100
14296531,60246,6,100
1562759,65618,7,100
2541401,57594,3,100
9878020,44731,5,100
9157314,80605,6,100
196960,46424,5,100
10242149,31471,1,100
34478398,65431,4,100
19414060,35144,5,100
24769117,53341,5,100
13451989,19026,5,100
12184846,44066,4,100
42096280,79419,3,100
18126552,6639,2,100
4537411,90181,4,99
5033547,55007,8,99
551038,75011,7,99
4545661,27842,3,99
25039626,90822,10,99
1506901,60392,4,99
10511024,76117,7,99
11414894,49546,5,99
5809059,31337,3,99
7438112,8975,4,99
43627405,80100,3,99
248830,34343,3,99
15857647,71845,2,99
8529265,41883,2,99
2592764,46496,2,99
299588,92775,7,99
5753597,8818,7,99
659865,47469,8,99
7351744,57552,3,98
26577516,88964,2,98
19736080,62839,8,98
29902714,74715,7,98
46753393,85399,4,98
711884,86769,6,98
12078667,42558,8,98
7037468,64519,10,98
23051062,74142,4,98
37612524,6261,4,98
2249310,19067,2,98
1721802,74446,7,98
34142485,64771,4,98
376461,82148,9,98
4198804,15058,7,98
100298,39913,8,98
8028708,64254,7,98
14083111,32851,2,98
48323493,6064,1,98
10973362,68852,3,97
14606351,4807,6,97
39983695,38683,5,97
16571150,48020,2,97
17978092,72162,10,97
31827012,83763,4,97
3494906,63703,9,97
8683178,44651,2,97
3438756,45735,10,97
7801991,63474,4,97
1180115,83237,8,97
24853923,36202,4,97
1598823,54423,4,97
18966564,80924,4,97
6285327,83843,3,97
19042389,76597,4,97
1707709,74927,5,97
7514964,81582,3,97
5585343,72767,2,97
4495120,44888,4,97
15800704,40613,6,97
8637153,88968,1,97
78799,65866,6,97
1061283,54753,5,97
20002503,18530,2,97
8780756,45004,1,97
26136894,9525,1,97
20360293,72946,9,97
7894791,59475,5,97
22538563,43986,1,97
6967632,30630,3,97
2657627,28459,7,97
15853469,13070,2,97
8853063,31642,6,97
5327465,52234,7,96
4020539,82500,6,96
5870188,35427,3,96
18011902,61185,4,96
6682009,73393,10,96
8081545,44783,7,96
12399803,76371,6,96
19472530,81663,4,96
33091376,66662,2,96
1517347,55243,3,96
2164069,30525,8,96
1269217,39766,3,96
6953351,67375,3,96
6182964,85500,4,96
48750199,68240,9,96
1849311,31170,2,96
33785755,90414,8,95
29525808,45728,5,95
46499808,43063,7,95
14959217,87853,5,95
23969619,64944,1,95
18885175,77976,4,95
2233204,26863,6,95
42352841,52252,3,95
908258,81304,8,95
104983,49562,4,95
11286688,29530,6,95
8895208,78599,3,95
37278647,24827,4,95
25391025,67438,4,95
3455456,19396,6,95
34753401,22833,4,95
16706956,8970,3,95
1558385,65658,7,95
3452381,30062,4,95
5360873,37434,1,95
21788939,35616,10,94
2113427,62897,10,94
646286,91087,6,94
10738919,80787,5,94
2466191,71896,7,94
17820618,54030,4,94
6943182,91785,7,94
1253528,46369,10,94
3114252,36422,9,94
911871,84726,5,94
2676763,52497,2,94
39691902,50959,6,94
55644201,4649,6,94
12382719,82191,4,94
44489658,5169,4,94
58031966,3651,4,94
8738388,15132,6,94
7029993,36194,3,94
1076778,57732,8,94
4005318,58547,3,94
38947658,33378,2,94
26248654,64621,8,93
4651172,83027,4,93
3929278,48484,8,93
15611605,48635,5,93
3876936,49969,7,93
6506578,63440,4,93
1052148,87662,3,93
29214888,42177,3,93
3995034,51161,4,93
5438642,47019,4,93
3112171,30876,5,93
8203622,52861,4,93
3801379,63767,4,93
12356501,88279,2,93
4553129,39817,5,93
5119751,83246,3,93
3562403,62723,4,92
2032403,83729,5,92
19141432,94974,3,92
36498127,64902,6,92
1057252,59851,10,92
889333,86768,9,92
7456807,35272,10,92
20928136,93631,3,92
9170288,87097,8,92
18140838,73144,5,92
796319,53949,8,92
10623302,38877,4,92
14007545,63113,2,92
17166074,49439,4,92
2522005,32052,3,92
17803829,24053,3,92
366422,40285,7,92
37107223,61882,10,92
3302949,38361,6,92
15836713,40871,1,92
40832533,90887,9,92
31384639,86545,3,92
8726207,22563,6,92
2025562,22721,5,92
9378500,14553,8,92
3691655,47708,3,92
976577,65850,9,91
5081875,84936,3,91
4239825,40563,9,91
327807,61380,4,91
35014951,9666,3,91
8223939,64034,6,91
452969,45792,7,91
10886946,58690,6,91
21454,55734,9,91
19962736,80150,2,91
2537471,49557,8,91
1885181,54174,4,91
3173154,88411,4,91
3677368,81698,8,91
16573095,38323,3,91
36786722,57495,2,91
22241420,63218,3,91
47955263,29707,4,91
27884404,13583,2,91
25960850,33671,7,91
13440875,25964,2,91
880530,22633,5,91
16748083,73159,4,91
41578808,65625,5,91
20015550,85987,5,91
49620538,8676,1,91
98053,18244,7,91
11686720,95605,8,90
30563716,5645,6,90
22187279,74382,7,90
12223335,24020,2,90
7674790,88556,9,90
2703640,94136,6,90
3022013,79677,6,90
42480111,49265,10,90
4474395,22032,4,90
2481421,67207,4,90
12053236,65391,2,90
3091316,57201,2,90
371753,89440,6,90
6167238,60187,6,90
35687678,50726,5,90
908331,37032,4,90
5599254,35377,3,90
36783921,78893,3,90
20166749,75998,6,90
399956,33312,6,90
39100971,84786,5,90
5861498,81810,6,90
35121288,6366,5,90
3642080,68473,4,90
23838056,62774,5,90
8618068,70273,5,90
21055859,40104,4,90
54028199,8902,1,90
4628290,49700,6,90
64237,28092,7,90
2170252,70854,5,90
9350422,10183,2,90
6183276,94486,5,89
13243766,29764,9,89
487971,74125,10,89
10501247,74108,10,89
6589358,82780,10,89
28836893,33399,2,89
23416381,47611,6,89
1848474,51651,4,89
6005066,89880,6,89
11622652,63980,6,89
13269890,75301,9,89
3906137,63569,7,89
3305865,38276,3,89
6522446,82911,3,89
323763,34143,3,89
15008970,90768,1,89
21662783,16556,1,89
2024566,67342,9,89
12876177,38157,3,89
42107442,7070,4,89
16232572,12988,1,89
5960337,52415,3,89
2531952,53890,6,89
53927460,17438,2,89
2770810,59812,5,89
7257588,90749,9,89
4965159,82710,5,88
11494483,84856,6,88
19471972,85031,8,88
6169217,78207,8,88
21833872,34711,5,88
1661262,44164,8,88
25540259,91142,2,88
15754122,77254,5,88
4703516,89641,6,88
18528533,88124,7,88
25055712,62490,4,88
